TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
51;0;0.966;1.931;2.897;3.862;4.596;5.33;5.709;6.088;6.367;6.646;6.888;7.13;7.327;7.524;7.661;7.798;7.949;8.1;7.762;7.424;6.906;6.388;5.718;5.048;4.335;3.622;2.982;2.342;1.874;1.406;1.266;1.125;0.985;0.844;0.704;0.564;0.423;0.283;0.142;0.002;0.002;0.002;0.001;0.001;0.001;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;0;0.991;1.982;2.973;3.964;4.697;5.43;5.823;6.216;6.499;6.782;7.036;7.29;7.499;7.708;7.847;7.986;8.148;8.31;7.999;7.688;7.197;6.706;6.036;5.366;4.64;3.914;3.244;2.574;2.078;1.582;1.424;1.266;1.109;0.951;0.793;0.635;0.477;0.32;0.162;0.004;0.004;0.003;0.003;0.002;0.002;0.002;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;0;1.017;2.033;3.05;4.066;4.798;5.53;5.937;6.344;6.631;6.918;7.184;7.45;7.671;7.892;8.033;8.174;8.347;8.52;8.236;7.952;7.488;7.024;6.354;5.684;4.945;4.206;3.506;2.806;2.282;1.758;1.583;1.408;1.232;1.057;0.882;0.707;0.532;0.356;0.181;0.006;0.005;0.005;0.004;0.004;0.003;0.002;0.002;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;0;1.042;2.084;3.126;4.168;4.899;5.63;6.051;6.472;6.763;7.054;7.332;7.61;7.843;8.076;8.219;8.362;8.546;8.73;8.473;8.216;7.779;7.342;6.672;6.002;5.25;4.498;3.768;3.038;2.486;1.934;1.741;1.549;1.356;1.164;0.971;0.778;0.586;0.393;0.201;0.008;0.007;0.006;0.006;0.005;0.004;0.003;0.002;0.002;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;0;1.068;2.135;3.202;4.27;5;5.73;6.165;6.6;6.895;7.19;7.48;7.77;8.015;8.26;8.405;8.55;8.745;8.94;8.71;8.48;8.07;7.66;6.99;6.32;5.555;4.79;4.03;3.27;2.69;2.11;1.9;1.69;1.48;1.27;1.06;0.85;0.64;0.43;0.22;0.01;0.009;0.008;0.007;0.006;0.005;0.004;0.003;0.002;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;0;1.082;2.163;3.245;4.326;5.054;5.782;6.214;6.646;6.951;7.256;7.548;7.84;8.095;8.35;8.506;8.662;8.865;9.068;8.895;8.722;8.359;7.996;7.337;6.678;5.906;5.134;4.355;3.576;2.969;2.362;2.128;1.893;1.659;1.424;1.19;0.956;0.721;0.487;0.252;0.018;0.016;0.014;0.013;0.011;0.009;0.007;0.005;0.004;0.002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;0;1.096;2.191;3.287;4.382;5.108;5.834;6.263;6.692;7.007;7.322;7.616;7.91;8.175;8.44;8.607;8.774;8.985;9.196;9.08;8.964;8.648;8.332;7.684;7.036;6.257;5.478;4.68;3.882;3.248;2.614;2.355;2.096;1.838;1.579;1.32;1.061;0.802;0.544;0.285;0.026;0.023;0.021;0.018;0.016;0.013;0.01;0.008;0.005;0.003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;0;1.11;2.219;3.329;4.438;5.162;5.886;6.312;6.738;7.063;7.388;7.684;7.98;8.255;8.53;8.708;8.886;9.105;9.324;9.265;9.206;8.937;8.668;8.031;7.394;6.608;5.822;5.005;4.188;3.527;2.866;2.583;2.3;2.016;1.733;1.45;1.167;0.884;0.6;0.317;0.034;0.031;0.027;0.024;0.02;0.017;0.014;0.01;0.007;0.003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;0;1.123;2.247;3.371;4.494;5.216;5.938;6.361;6.784;7.119;7.454;7.752;8.05;8.335;8.62;8.809;8.998;9.225;9.452;9.45;9.448;9.226;9.004;8.378;7.752;6.959;6.166;5.33;4.494;3.806;3.118;2.81;2.503;2.195;1.888;1.58;1.272;0.965;0.657;0.35;0.042;0.038;0.034;0.029;0.025;0.021;0.017;0.013;0.008;0.004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;0;1.138;2.275;3.412;4.55;5.27;5.99;6.41;6.83;7.175;7.52;7.82;8.12;8.415;8.71;8.91;9.11;9.345;9.58;9.635;9.69;9.515;9.34;8.725;8.11;7.31;6.51;5.655;4.8;4.085;3.37;3.038;2.706;2.374;2.042;1.71;1.378;1.046;0.714;0.382;0.05;0.045;0.04;0.035;0.03;0.025;0.02;0.015;0.01;0.005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;0;1.147;2.295;3.443;4.59;5.305;6.02;6.445;6.87;7.225;7.58;7.889;8.198;8.494;8.79;8.999;9.208;9.456;9.704;9.795;9.886;9.755;9.624;9.039;8.454;7.664;6.874;6.01;5.146;4.41;3.674;3.314;2.953;2.593;2.232;1.872;1.512;1.151;0.791;0.43;0.07;0.063;0.057;0.05;0.044;0.037;0.03;0.024;0.017;0.011;0.004;0.004;0.004;0.003;0.003;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.001;0.001;0.001;0.001;0.001;0;0;0
62;0;1.158;2.315;3.473;4.63;5.34;6.05;6.48;6.91;7.275;7.64;7.958;8.276;8.573;8.87;9.088;9.306;9.567;9.828;9.955;10.082;9.995;9.908;9.353;8.798;8.018;7.238;6.365;5.492;4.735;3.978;3.589;3.2;2.812;2.423;2.034;1.645;1.256;0.868;0.479;0.09;0.082;0.074;0.065;0.057;0.049;0.041;0.033;0.024;0.016;0.008;0.008;0.007;0.007;0.006;0.006;0.006;0.005;0.005;0.004;0.004;0.004;0.003;0.003;0.002;0.002;0.002;0.001;0.001;0;0
63;0;1.167;2.335;3.503;4.67;5.375;6.08;6.515;6.95;7.325;7.7;8.027;8.354;8.652;8.95;9.177;9.404;9.678;9.952;10.115;10.278;10.235;10.192;9.667;9.142;8.372;7.602;6.72;5.838;5.06;4.282;3.865;3.448;3.03;2.613;2.196;1.779;1.362;0.944;0.527;0.11;0.1;0.09;0.081;0.071;0.061;0.051;0.041;0.032;0.022;0.012;0.011;0.011;0.01;0.01;0.009;0.008;0.008;0.007;0.007;0.006;0.005;0.005;0.004;0.004;0.003;0.002;0.002;0.001;0.001;0
64;0;1.178;2.355;3.532;4.71;5.41;6.11;6.55;6.99;7.375;7.76;8.096;8.432;8.731;9.03;9.266;9.502;9.789;10.076;10.275;10.474;10.475;10.476;9.981;9.486;8.726;7.966;7.075;6.184;5.385;4.586;4.14;3.695;3.249;2.804;2.358;1.912;1.467;1.021;0.576;0.13;0.119;0.107;0.096;0.084;0.073;0.062;0.05;0.039;0.027;0.016;0.015;0.014;0.014;0.013;0.012;0.011;0.01;0.01;0.009;0.008;0.007;0.006;0.006;0.005;0.004;0.003;0.002;0.002;0.001;0
65;0;1.187;2.375;3.563;4.75;5.445;6.14;6.585;7.03;7.425;7.82;8.165;8.51;8.81;9.11;9.355;9.6;9.9;10.2;10.435;10.67;10.715;10.76;10.295;9.83;9.08;8.33;7.43;6.53;5.71;4.89;4.416;3.942;3.468;2.994;2.52;2.046;1.572;1.098;0.624;0.15;0.137;0.124;0.111;0.098;0.085;0.072;0.059;0.046;0.033;0.02;0.019;0.018;0.017;0.016;0.015;0.014;0.013;0.012;0.011;0.01;0.009;0.008;0.007;0.006;0.005;0.004;0.003;0.002;0.001;0
66;0;1.191;2.381;3.572;4.762;5.461;6.16;6.615;7.07;7.465;7.86;8.215;8.57;8.879;9.188;9.454;9.72;10.019;10.318;10.555;10.792;10.869;10.946;10.536;10.126;9.412;8.698;7.804;6.91;6.076;5.242;4.737;4.233;3.728;3.224;2.719;2.214;1.71;1.205;0.701;0.196;0.18;0.163;0.147;0.13;0.114;0.098;0.081;0.065;0.048;0.032;0.03;0.029;0.027;0.026;0.024;0.022;0.021;0.019;0.018;0.016;0.014;0.013;0.011;0.01;0.008;0.006;0.005;0.003;0.002;0
67;0;1.193;2.387;3.581;4.774;5.477;6.18;6.645;7.11;7.505;7.9;8.265;8.63;8.948;9.266;9.553;9.84;10.138;10.436;10.675;10.914;11.023;11.132;10.777;10.422;9.744;9.066;8.178;7.29;6.442;5.594;5.059;4.524;3.988;3.453;2.918;2.383;1.848;1.312;0.777;0.242;0.222;0.202;0.183;0.163;0.143;0.123;0.103;0.084;0.064;0.044;0.042;0.04;0.037;0.035;0.033;0.031;0.029;0.026;0.024;0.022;0.02;0.018;0.015;0.013;0.011;0.009;0.007;0.004;0.002;0
68;0;1.197;2.393;3.59;4.786;5.493;6.2;6.675;7.15;7.545;7.94;8.315;8.69;9.017;9.344;9.652;9.96;10.257;10.554;10.795;11.036;11.177;11.318;11.018;10.718;10.076;9.434;8.552;7.67;6.808;5.946;5.38;4.814;4.249;3.683;3.117;2.551;1.985;1.42;0.854;0.288;0.265;0.242;0.218;0.195;0.172;0.149;0.126;0.102;0.079;0.056;0.053;0.05;0.048;0.045;0.042;0.039;0.036;0.034;0.031;0.028;0.025;0.022;0.02;0.017;0.014;0.011;0.008;0.006;0.003;0
69;0;1.199;2.399;3.599;4.798;5.509;6.22;6.705;7.19;7.585;7.98;8.365;8.75;9.086;9.422;9.751;10.08;10.376;10.672;10.915;11.158;11.331;11.504;11.259;11.014;10.408;9.802;8.926;8.05;7.174;6.298;5.702;5.105;4.509;3.912;3.316;2.72;2.123;1.527;0.93;0.334;0.307;0.281;0.254;0.228;0.201;0.174;0.148;0.121;0.095;0.068;0.065;0.061;0.058;0.054;0.051;0.048;0.044;0.041;0.037;0.034;0.031;0.027;0.024;0.02;0.017;0.014;0.01;0.007;0.003;0
70;0;1.203;2.405;3.608;4.81;5.525;6.24;6.735;7.23;7.625;8.02;8.415;8.81;9.155;9.5;9.85;10.2;10.495;10.79;11.035;11.28;11.485;11.69;11.5;11.31;10.74;10.17;9.3;8.43;7.54;6.65;6.023;5.396;4.769;4.142;3.515;2.888;2.261;1.634;1.007;0.38;0.35;0.32;0.29;0.26;0.23;0.2;0.17;0.14;0.11;0.08;0.076;0.072;0.068;0.064;0.06;0.056;0.052;0.048;0.044;0.04;0.036;0.032;0.028;0.024;0.02;0.016;0.012;0.008;0.004;0
71;0;1.204;2.409;3.614;4.818;5.539;6.26;6.755;7.25;7.665;8.08;8.475;8.877;9.24;9.603;9.971;10.339;10.636;10.934;11.179;11.424;11.646;11.869;11.72;11.57;11.044;10.518;9.671;8.823;7.946;7.068;6.408;5.747;5.086;4.426;3.765;3.102;2.44;1.779;1.119;0.46;0.424;0.389;0.353;0.318;0.282;0.246;0.211;0.175;0.14;0.104;0.099;0.094;0.088;0.083;0.078;0.073;0.068;0.062;0.057;0.052;0.047;0.042;0.036;0.031;0.026;0.021;0.016;0.01;0.005;0
72;0;1.207;2.413;3.62;4.826;5.553;6.28;6.775;7.27;7.705;8.14;8.535;8.944;9.325;9.706;10.092;10.479;10.779;11.078;11.323;11.568;11.809;12.05;11.941;11.832;11.35;10.868;10.044;9.219;8.354;7.489;6.795;6.1;5.406;4.711;4.017;3.317;2.62;1.924;1.231;0.54;0.499;0.458;0.416;0.375;0.334;0.293;0.252;0.21;0.169;0.128;0.122;0.115;0.109;0.102;0.096;0.09;0.083;0.077;0.07;0.064;0.058;0.051;0.045;0.038;0.032;0.026;0.019;0.013;0.006;0
73;0;1.208;2.417;3.625;4.834;5.567;6.3;6.795;7.29;7.745;8.2;8.595;9.012;9.41;9.81;10.214;10.62;10.922;11.223;11.468;11.713;11.972;12.231;12.163;12.095;11.658;11.221;10.42;9.618;8.766;7.914;7.185;6.457;5.728;4.999;4.271;3.534;2.8;2.07;1.343;0.62;0.573;0.526;0.48;0.433;0.386;0.339;0.292;0.246;0.199;0.152;0.144;0.137;0.129;0.122;0.114;0.106;0.099;0.091;0.084;0.076;0.068;0.061;0.053;0.046;0.038;0.03;0.023;0.015;0.008;0
74;0;1.211;2.421;3.632;4.842;5.581;6.32;6.815;7.31;7.785;8.26;8.655;9.079;9.495;9.914;10.337;10.761;11.065;11.369;11.614;11.859;12.136;12.413;12.387;12.361;11.968;11.576;10.798;10.02;9.181;8.341;7.578;6.815;6.052;5.289;4.526;3.751;2.981;2.216;1.456;0.7;0.648;0.595;0.543;0.49;0.438;0.386;0.333;0.281;0.228;0.176;0.167;0.158;0.15;0.141;0.132;0.123;0.114;0.106;0.097;0.088;0.079;0.07;0.062;0.053;0.044;0.035;0.026;0.018;0.009;0
75;0;1.212;2.425;3.637;4.85;5.595;6.34;6.835;7.33;7.825;8.32;8.715;9.146;9.581;10.019;10.46;10.904;11.21;11.516;11.761;12.005;12.301;12.597;12.612;12.628;12.281;11.934;11.179;10.424;9.598;8.772;7.974;7.177;6.379;5.581;4.784;3.971;3.164;2.363;1.568;0.78;0.722;0.664;0.606;0.548;0.49;0.432;0.374;0.316;0.258;0.2;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.1;0.09;0.08;0.07;0.06;0.05;0.04;0.03;0.02;0.01;0
76;0;1.213;2.425;3.638;4.85;5.594;6.338;6.839;7.34;7.849;8.358;8.764;9.214;9.667;10.124;10.584;11.049;11.355;11.661;11.898;12.134;12.431;12.728;12.749;12.769;12.5;12.231;11.516;10.801;10;9.2;8.373;7.546;6.719;5.893;5.066;4.219;3.38;2.549;1.726;0.91;0.843;0.777;0.71;0.644;0.577;0.51;0.444;0.377;0.311;0.244;0.232;0.22;0.207;0.195;0.183;0.171;0.159;0.146;0.134;0.122;0.11;0.098;0.085;0.073;0.061;0.049;0.037;0.024;0.012;0
77;0;1.213;2.425;3.637;4.85;5.593;6.336;6.843;7.35;7.873;8.396;8.813;9.282;9.753;10.229;10.71;11.195;11.501;11.808;12.036;12.264;12.562;12.86;12.886;12.912;12.72;12.529;11.855;11.181;10.405;9.63;8.774;7.918;7.062;6.206;5.35;4.469;3.598;2.736;1.883;1.04;0.965;0.89;0.814;0.739;0.664;0.589;0.514;0.438;0.363;0.288;0.274;0.259;0.245;0.23;0.216;0.202;0.187;0.173;0.158;0.144;0.13;0.115;0.101;0.086;0.072;0.058;0.043;0.029;0.014;0
78;0;1.213;2.425;3.637;4.85;5.592;6.334;6.847;7.36;7.897;8.434;8.862;9.349;9.839;10.335;10.835;11.342;11.648;11.955;12.175;12.394;12.694;12.993;13.024;13.055;12.942;12.83;12.196;11.563;10.813;10.064;9.178;8.293;7.407;6.521;5.636;4.721;3.816;2.923;2.041;1.17;1.086;1.002;0.919;0.835;0.751;0.667;0.583;0.5;0.416;0.332;0.315;0.299;0.282;0.266;0.249;0.232;0.216;0.199;0.183;0.166;0.149;0.133;0.116;0.1;0.083;0.066;0.05;0.033;0.017;0
79;0;1.212;2.425;3.638;4.85;5.591;6.332;6.851;7.37;7.921;8.472;8.911;9.417;9.926;10.441;10.962;11.489;11.796;12.103;12.314;12.525;12.826;13.126;13.162;13.199;13.165;13.132;12.54;11.947;11.224;10.501;9.585;8.67;7.755;6.839;5.924;4.974;4.036;3.111;2.199;1.3;1.208;1.115;1.023;0.93;0.838;0.746;0.653;0.561;0.468;0.376;0.357;0.338;0.32;0.301;0.282;0.263;0.244;0.226;0.207;0.188;0.169;0.15;0.132;0.113;0.094;0.075;0.056;0.038;0.019;0
80;0;1.213;2.425;3.637;4.85;5.59;6.33;6.855;7.38;7.945;8.51;8.96;9.485;10.013;10.547;11.089;11.638;11.944;12.251;12.454;12.657;12.958;13.26;13.302;13.343;13.39;13.437;12.886;12.334;11.638;10.941;9.995;9.05;8.105;7.159;6.214;5.228;4.257;3.3;2.358;1.43;1.329;1.228;1.127;1.026;0.925;0.824;0.723;0.622;0.521;0.42;0.399;0.378;0.357;0.336;0.315;0.294;0.273;0.252;0.231;0.21;0.189;0.168;0.147;0.126;0.105;0.084;0.063;0.042;0.021;0
81;0;1.217;2.435;3.653;4.87;5.611;6.352;6.89;7.428;7.977;8.526;8.993;9.536;10.068;10.607;11.159;11.719;12.027;12.334;12.536;12.738;13.026;13.314;13.373;13.433;13.517;13.601;13.12;12.638;11.977;11.315;10.352;9.39;8.427;7.464;6.501;5.496;4.505;3.529;2.568;1.622;1.51;1.397;1.285;1.172;1.06;0.948;0.835;0.723;0.61;0.498;0.473;0.448;0.423;0.398;0.374;0.349;0.324;0.299;0.274;0.249;0.224;0.199;0.174;0.149;0.125;0.1;0.075;0.05;0.025;0
82;0;1.223;2.445;3.667;4.89;5.632;6.374;6.925;7.476;8.009;8.542;9.026;9.586;10.122;10.666;11.229;11.8;12.109;12.418;12.618;12.819;13.094;13.368;13.445;13.522;13.644;13.765;13.354;12.942;12.316;11.69;10.709;9.729;8.749;7.768;6.788;5.763;4.753;3.758;2.779;1.814;1.69;1.566;1.443;1.319;1.195;1.071;0.947;0.824;0.7;0.576;0.547;0.518;0.49;0.461;0.432;0.403;0.374;0.346;0.317;0.288;0.259;0.23;0.202;0.173;0.144;0.115;0.086;0.058;0.029;0
83;0;1.228;2.455;3.683;4.91;5.653;6.396;6.96;7.524;8.041;8.558;9.059;9.636;10.177;10.725;11.299;11.881;12.191;12.501;12.7;12.9;13.161;13.422;13.517;13.612;13.771;13.93;13.588;13.245;12.655;12.064;11.066;10.068;9.071;8.073;7.075;6.031;5.001;3.988;2.989;2.006;1.871;1.736;1.6;1.465;1.33;1.195;1.06;0.924;0.789;0.654;0.621;0.589;0.556;0.523;0.491;0.458;0.425;0.392;0.36;0.327;0.294;0.262;0.229;0.196;0.164;0.131;0.098;0.065;0.033;0
84;0;1.232;2.465;3.698;4.93;5.674;6.418;6.995;7.572;8.073;8.574;9.092;9.687;10.232;10.785;11.37;11.962;12.273;12.584;12.783;12.981;13.229;13.476;13.589;13.701;13.898;14.094;13.822;13.549;12.994;12.438;11.423;10.408;9.393;8.377;7.362;6.298;5.25;4.217;3.2;2.198;2.051;1.905;1.758;1.612;1.465;1.318;1.172;1.025;0.879;0.732;0.695;0.659;0.622;0.586;0.549;0.512;0.476;0.439;0.403;0.366;0.329;0.293;0.256;0.22;0.183;0.146;0.11;0.073;0.037;0
85;0;1.238;2.475;3.713;4.95;5.695;6.44;7.03;7.62;8.105;8.59;9.125;9.737;10.287;10.844;11.44;12.043;12.355;12.667;12.865;13.062;13.296;13.53;13.66;13.79;14.024;14.258;14.056;13.853;13.333;12.813;11.78;10.747;9.715;8.682;7.649;6.566;5.498;4.446;3.41;2.39;2.232;2.074;1.916;1.758;1.6;1.442;1.284;1.126;0.968;0.81;0.77;0.729;0.689;0.648;0.608;0.567;0.527;0.486;0.446;0.405;0.365;0.324;0.284;0.243;0.203;0.162;0.122;0.081;0.041;0
86;0;1.238;2.475;3.713;4.95;5.695;6.44;7.036;7.632;8.123;8.614;9.161;9.786;10.352;10.926;11.495;12.072;12.387;12.703;12.914;13.125;13.358;13.591;13.728;13.865;14.103;14.342;14.194;14.046;13.607;13.168;12.128;11.088;10.048;9.008;7.968;6.875;5.798;4.737;3.691;2.662;2.488;2.314;2.141;1.967;1.793;1.619;1.445;1.272;1.098;0.924;0.878;0.832;0.785;0.739;0.693;0.647;0.601;0.554;0.508;0.462;0.416;0.37;0.323;0.277;0.231;0.185;0.139;0.092;0.046;0
87;0;1.238;2.475;3.713;4.95;5.695;6.44;7.042;7.644;8.141;8.638;9.197;9.834;10.417;11.008;11.551;12.101;12.42;12.738;12.963;13.187;13.419;13.651;13.796;13.94;14.182;14.425;14.332;14.24;13.882;13.524;12.477;11.43;10.382;9.335;8.288;7.185;6.098;5.027;3.973;2.934;2.744;2.555;2.365;2.176;1.986;1.796;1.607;1.417;1.228;1.038;0.986;0.934;0.882;0.83;0.779;0.727;0.675;0.623;0.571;0.519;0.467;0.415;0.363;0.311;0.259;0.208;0.156;0.104;0.052;0
88;0;1.237;2.475;3.713;4.95;5.695;6.44;7.048;7.656;8.159;8.662;9.233;9.882;10.482;11.09;11.607;12.131;12.452;12.773;13.011;13.25;13.48;13.711;13.863;14.015;14.262;14.508;14.471;14.433;14.156;13.88;12.825;11.771;10.716;9.662;8.607;7.494;6.398;5.318;4.254;3.206;3.001;2.795;2.59;2.384;2.179;1.974;1.768;1.563;1.357;1.152;1.094;1.037;0.979;0.922;0.864;0.806;0.749;0.691;0.634;0.576;0.518;0.461;0.403;0.346;0.288;0.23;0.173;0.115;0.058;0
89;0;1.238;2.475;3.712;4.95;5.695;6.44;7.054;7.668;8.177;8.686;9.269;9.931;10.547;11.172;11.663;12.16;12.484;12.809;13.06;13.312;13.542;13.772;13.931;14.09;14.341;14.591;14.609;14.627;14.431;14.236;13.174;12.112;11.05;9.988;8.926;7.804;6.698;5.608;4.535;3.478;3.257;3.036;2.814;2.593;2.372;2.151;1.93;1.708;1.487;1.266;1.203;1.139;1.076;1.013;0.949;0.886;0.823;0.76;0.696;0.633;0.57;0.506;0.443;0.38;0.316;0.253;0.19;0.127;0.063;0
90;0;1.238;2.475;3.713;4.95;5.695;6.44;7.06;7.68;8.195;8.71;9.305;9.979;10.612;11.254;11.718;12.189;12.516;12.844;13.109;13.374;13.603;13.832;13.998;14.165;14.42;14.674;14.747;14.82;14.706;14.591;13.522;12.453;11.384;10.315;9.246;8.114;6.998;5.899;4.816;3.75;3.513;3.276;3.039;2.802;2.565;2.328;2.091;1.854;1.617;1.38;1.311;1.242;1.173;1.104;1.035;0.966;0.897;0.828;0.759;0.69;0.621;0.552;0.483;0.414;0.345;0.276;0.207;0.138;0.069;0
91;0;1.237;2.475;3.713;4.95;5.695;6.44;7.064;7.688;8.209;8.73;9.325;9.999;10.643;11.295;11.763;12.237;12.543;12.85;13.134;13.418;13.671;13.924;14.096;14.269;14.523;14.776;14.864;14.951;14.887;14.822;13.765;12.708;11.651;10.594;9.537;8.415;7.308;6.219;5.145;4.088;3.833;3.579;3.324;3.07;2.815;2.56;2.306;2.051;1.797;1.542;1.465;1.388;1.311;1.234;1.156;1.079;1.002;0.925;0.848;0.771;0.694;0.617;0.54;0.463;0.385;0.308;0.231;0.154;0.077;0
92;0;1.238;2.475;3.713;4.95;5.695;6.44;7.068;7.696;8.223;8.75;9.345;10.02;10.673;11.336;11.807;12.284;12.57;12.856;13.159;13.462;13.738;14.015;14.194;14.373;14.626;14.878;14.98;15.082;15.068;15.053;14.008;12.963;11.918;10.873;9.828;8.715;7.619;6.539;5.474;4.426;4.154;3.882;3.609;3.337;3.065;2.793;2.521;2.248;1.976;1.704;1.619;1.534;1.448;1.363;1.278;1.193;1.108;1.022;0.937;0.852;0.767;0.682;0.596;0.511;0.426;0.341;0.256;0.17;0.085;0
93;0;1.238;2.475;3.713;4.95;5.695;6.44;7.072;7.704;8.237;8.77;9.365;10.04;10.704;11.377;11.851;12.332;12.598;12.863;13.184;13.505;13.806;14.107;14.292;14.477;14.728;14.98;15.097;15.213;15.248;15.284;14.251;13.218;12.185;11.152;10.119;9.016;7.929;6.858;5.803;4.764;4.474;4.184;3.895;3.605;3.315;3.025;2.735;2.446;2.156;1.866;1.773;1.679;1.586;1.493;1.399;1.306;1.213;1.12;1.026;0.933;0.84;0.746;0.653;0.56;0.466;0.373;0.28;0.187;0.093;0
94;0;1.237;2.475;3.713;4.95;5.695;6.44;7.076;7.712;8.251;8.79;9.385;10.06;10.734;11.418;11.896;12.38;12.625;12.869;13.209;13.549;13.874;14.198;14.389;14.581;14.831;15.082;15.213;15.344;15.429;15.515;14.494;13.473;12.452;11.431;10.41;9.317;8.24;7.178;6.132;5.102;4.795;4.487;4.18;3.872;3.565;3.258;2.95;2.643;2.335;2.028;1.927;1.825;1.724;1.622;1.521;1.42;1.318;1.217;1.115;1.014;0.913;0.811;0.71;0.608;0.507;0.406;0.304;0.203;0.101;0
95;0;1.238;2.475;3.713;4.95;5.695;6.44;7.08;7.72;8.265;8.81;9.405;10.08;10.765;11.459;11.94;12.428;12.652;12.875;13.234;13.593;13.941;14.29;14.487;14.685;14.934;15.184;15.33;15.475;15.61;15.746;14.737;13.728;12.719;11.71;10.702;9.618;8.55;7.498;6.461;5.44;5.115;4.79;4.465;4.14;3.815;3.49;3.165;2.84;2.515;2.19;2.081;1.971;1.862;1.752;1.643;1.533;1.424;1.314;1.205;1.095;0.985;0.876;0.767;0.657;0.548;0.438;0.329;0.219;0.11;0
96;0;1.234;2.467;3.701;4.934;5.687;6.44;7.09;7.74;8.28;8.82;9.42;10.1;10.795;11.5;11.973;12.453;12.705;12.956;13.3;13.643;13.996;14.35;14.546;14.743;14.994;15.244;15.401;15.558;15.706;15.854;14.874;13.894;12.914;11.934;10.954;9.898;8.856;7.83;6.818;5.822;5.48;5.138;4.796;4.454;4.112;3.77;3.428;3.086;2.744;2.402;2.282;2.162;2.042;1.922;1.802;1.681;1.561;1.441;1.321;1.201;1.081;0.961;0.841;0.721;0.601;0.48;0.36;0.24;0.12;0
97;0;1.229;2.459;3.689;4.918;5.679;6.44;7.1;7.76;8.295;8.83;9.435;10.12;10.825;11.54;12.006;12.478;12.758;13.037;13.365;13.693;14.051;14.41;14.606;14.801;15.053;15.305;15.473;15.642;15.802;15.962;15.011;14.06;13.109;12.158;11.207;10.177;9.162;8.161;7.175;6.204;5.845;5.486;5.127;4.768;4.409;4.05;3.691;3.332;2.973;2.614;2.483;2.353;2.222;2.091;1.961;1.83;1.699;1.568;1.438;1.307;1.176;1.046;0.915;0.784;0.654;0.523;0.392;0.261;0.131;0
98;0;1.226;2.451;3.677;4.902;5.671;6.44;7.11;7.78;8.31;8.84;9.45;10.14;10.856;11.581;12.039;12.503;12.811;13.119;13.431;13.743;14.107;14.471;14.665;14.86;15.112;15.365;15.545;15.725;15.897;16.07;15.148;14.226;13.304;12.382;11.46;10.457;9.468;8.493;7.532;6.586;6.21;5.834;5.458;5.082;4.706;4.33;3.954;3.578;3.202;2.826;2.685;2.543;2.402;2.261;2.12;1.978;1.837;1.696;1.554;1.413;1.272;1.13;0.989;0.848;0.707;0.565;0.424;0.283;0.141;0
99;0;1.221;2.443;3.665;4.886;5.663;6.44;7.12;7.8;8.325;8.85;9.465;10.161;10.886;11.622;12.072;12.528;12.864;13.2;13.496;13.792;14.162;14.531;14.724;14.918;15.172;15.425;15.617;15.808;15.993;16.178;15.285;14.392;13.499;12.606;11.712;10.736;9.773;8.825;7.889;6.968;6.575;6.182;5.789;5.396;5.003;4.61;4.217;3.824;3.431;3.038;2.886;2.734;2.582;2.43;2.279;2.127;1.975;1.823;1.671;1.519;1.367;1.215;1.063;0.911;0.76;0.608;0.456;0.304;0.152;0
100;0;1.218;2.435;3.653;4.87;5.655;6.44;7.13;7.82;8.34;8.86;9.48;10.181;10.917;11.663;12.105;12.553;12.917;13.281;13.562;13.842;14.217;14.591;14.784;14.976;15.231;15.486;15.688;15.891;16.089;16.286;15.422;14.558;13.694;12.829;11.965;11.016;10.079;9.156;8.246;7.35;6.94;6.53;6.12;5.71;5.3;4.89;4.48;4.07;3.66;3.25;3.088;2.925;2.762;2.6;2.438;2.275;2.113;1.95;1.788;1.625;1.463;1.3;1.138;0.975;0.813;0.65;0.488;0.325;0.163;0
